,vehicle_number,data_type,created_timestamp,lat,long,data_timestamp,vehicle_mode,odometer,speed,soc,dte,ac_status
78,DL1ZC5999,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,31-01-20 17:12,,,,,,
79,DL1ZC5985,NEMO_VEHICLE_CLUSTER,01-02-20 5:57,,,01-02-20 5:55,,,,,,
80,DL1ZC5969,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,31-01-20 14:03,Idle,32051,0,42,56,Off
81,DL1ZC5922,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:13,Drive,27270,18.5,59,81,Off
82,DL1ZC6066,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:56,FC,33000,0,89,125,Off
83,DL1ZC6002,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:55,Drive,38561,0,66,91,On
84,DL1ZC4589,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:55,Idle,48696,0,39,47,Off
85,DL1ZC6004,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:55,Idle,38022,0,100,140,Off
86,DL1ZC5985,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:55,Idle,21741,0,100,139,Off
87,DL1ZC5999,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,31-01-20 17:12,Drive,29305,1,1,0,Off
88,DL1ZC5943,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:57,Idle,30538,0,100,139,Off
89,DL1ZC5976,NEMO_VEHICLE_STATUS,01-02-20 5:57,,,01-02-20 5:57,Idle,32614,0,100,140,Off
90,DL1ZC6002,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:53,,,,,,
91,DL1ZC4589,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:53,,,,,,
92,DL1ZC4589,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:53,Idle,48696,0,39,47,Off
93,DL1ZC6078,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.49527758,77.08536488,01-02-20 5:54,,,,,,
94,DL1ZC6002,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:53,Drive,38561,0,66,91,On
95,DL1ZC6004,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:55,,,,,,
96,DL1ZC6079,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.49569108,77.08496838,01-02-20 5:53,,,,,,
97,DL1ZC6004,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.49601123,77.08426122,01-02-20 5:55,,,,,,
98,DL1ZC5943,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:54,,,,,,
99,DL1ZC6002,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.63928145,77.22333897,01-02-20 5:53,,,,,,
100,DL1ZC4589,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.56429828,77.33551693,01-02-20 5:53,,,,,,
101,DL1ZC6078,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:54,,,,,,
102,DL1ZC6079,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:53,,,,,,
103,DL1ZC5985,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:53,,,,,,
104,DL1ZC6056,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.40964388,77.00043438,01-02-20 5:53,,,,,,
105,DL1ZC5939,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.43450358,77.10569995,01-02-20 5:55,,,,,,
106,DL1ZC5999,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,31-01-20 17:12,,,,,,
107,DL1ZC6066,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:54,,,,,,
108,DL1ZC5976,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:55,,,,,,
109,DL1ZC5917,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.49702123,77.0826357,01-02-20 5:54,,,,,,
110,DL1ZC5917,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:54,,,,,,
111,DL1ZC6066,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.49718135,77.0828334,01-02-20 5:54,,,,,,
112,DL1ZC6056,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:53,,,,,,
113,DL1ZC5939,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:55,,,,,,
114,DL1ZC5943,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.49671335,77.0839326,01-02-20 5:54,,,,,,
115,DL1ZC5985,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.49682235,77.08269935,01-02-20 5:53,,,,,,
116,DL1ZC5999,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.49702273,77.0827055,31-01-20 17:12,,,,,,
117,DL1ZC5969,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.43546632,77.04818853,31-01-20 14:03,,,,,,
118,DL1ZC5922,NEMO_VEHICLE_LOCATION,01-02-20 5:55,28.4635522,77.50695962,01-02-20 5:13,,,,,,
119,DL1ZC5969,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,31-01-20 14:03,,,,,,
120,DL1ZC5976,NEMO_VEHICLE_LOCATION,01-02-20 5:55,0,0,01-02-20 5:55,,,,,,
121,DL1ZC5922,NEMO_VEHICLE_CLUSTER,01-02-20 5:55,,,01-02-20 5:13,,,,,,
122,DL1ZC6079,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:53,Idle,20283,0,100,140,Off
123,DL1ZC6004,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:55,Idle,38022,0,100,140,Off
124,DL1ZC6078,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:54,Idle,30857,0,100,140,Off
125,DL1ZC6066,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:54,FC,33000,0,88,123,Off
126,DL1ZC5985,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:53,Idle,21741,0,100,139,Off
127,DL1ZC5943,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:54,Idle,30538,0,100,139,Off
128,DL1ZC5999,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,31-01-20 17:12,Drive,29305,1,1,0,Off
129,DL1ZC5976,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:55,Idle,32614,0,100,140,Off
130,DL1ZC6056,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:53,Idle,31632,0,52,68,Off
131,DL1ZC5939,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:55,FC,28280,0,44,62,Off
132,DL1ZC5917,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:54,Idle,22628,0,93,123,Off
133,DL1ZC5922,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,01-02-20 5:13,Drive,27270,18.5,59,81,Off
134,DL1ZC5969,NEMO_VEHICLE_STATUS,01-02-20 5:55,,,31-01-20 14:03,Idle,32051,0,42,56,Off
135,DL1ZC6002,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.63928287,77.22333983,01-02-20 5:51,,,,,,
136,DL1ZC4589,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.56429782,77.3355157,01-02-20 5:51,,,,,,
137,DL1ZC6078,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:52,Idle,30857,0,100,140,Off
138,DL1ZC6078,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:52,,,,,,
139,DL1ZC6004,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.49601123,77.08426122,01-02-20 5:53,,,,,,
140,DL1ZC6079,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:51,,,,,,
141,DL1ZC5943,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.49671335,77.0839326,01-02-20 5:52,,,,,,
142,DL1ZC5985,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.49682235,77.08269935,01-02-20 5:51,,,,,,
143,DL1ZC6066,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.49718135,77.0828334,01-02-20 5:52,,,,,,
144,DL1ZC6056,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:51,,,,,,
145,DL1ZC6079,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:51,Idle,20283,0,100,140,Off
146,DL1ZC5999,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.49702273,77.0827055,31-01-20 17:12,,,,,,
147,DL1ZC6056,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.40964075,77.00043507,01-02-20 5:51,,,,,,
148,DL1ZC5939,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.43450358,77.10569995,01-02-20 5:53,,,,,,
149,DL1ZC5917,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.49702123,77.0826357,01-02-20 5:52,,,,,,
150,DL1ZC6079,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.49569108,77.08496838,01-02-20 5:51,,,,,,
151,DL1ZC5922,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:13,,,,,,
152,DL1ZC5939,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:53,,,,,,
153,DL1ZC5943,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:52,,,,,,
154,DL1ZC5976,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:53,,,,,,
155,DL1ZC5985,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:51,,,,,,
156,DL1ZC6066,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:52,,,,,,
157,DL1ZC5969,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,31-01-20 14:03,,,,,,
158,DL1ZC6004,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:53,,,,,,
159,DL1ZC5917,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:52,,,,,,
160,DL1ZC5999,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,31-01-20 17:12,,,,,,
161,DL1ZC5976,NEMO_VEHICLE_LOCATION,01-02-20 5:53,0,0,01-02-20 5:53,,,,,,
162,DL1ZC5969,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.43546632,77.04818853,31-01-20 14:03,,,,,,
163,DL1ZC5922,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.4635522,77.50695962,01-02-20 5:13,,,,,,
164,DL1ZC6056,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:51,Idle,31632,0,52,68,Off
165,DL1ZC5917,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:52,Idle,22628,0,93,123,Off
166,DL1ZC5939,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:53,FC,28280,0,42,59,Off
167,DL1ZC5922,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:13,Drive,27270,18.5,59,81,Off
168,DL1ZC5969,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,31-01-20 14:03,Idle,32051,0,42,56,Off
169,DL1ZC6066,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:52,FC,33000,0,86,121,Off
170,DL1ZC5999,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,31-01-20 17:12,Drive,29305,1,1,0,Off
171,DL1ZC5943,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:52,Idle,30538,0,100,139,Off
172,DL1ZC5976,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:53,Idle,32614,0,100,140,Off
173,DL1ZC5985,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:51,Idle,21741,0,100,139,Off
174,DL1ZC4589,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:51,,,,,,
175,DL1ZC6002,NEMO_VEHICLE_CLUSTER,01-02-20 5:53,,,01-02-20 5:51,,,,,,
176,DL1ZC6004,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:53,Idle,38022,0,100,140,Off
177,DL1ZC6078,NEMO_VEHICLE_LOCATION,01-02-20 5:53,28.49527758,77.08536488,01-02-20 5:52,,,,,,
178,DL1ZC4589,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:51,Idle,48696,0,39,47,Off
179,DL1ZC6002,NEMO_VEHICLE_STATUS,01-02-20 5:53,,,01-02-20 5:51,Drive,38561,0,66,91,On
180,DL1ZC4589,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:49,,,,,,
181,DL1ZC6078,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.49527758,77.08536488,01-02-20 5:50,,,,,,
182,DL1ZC4589,NEMO_VEHICLE_STATUS,01-02-20 5:51,,,01-02-20 5:49,Drive,48696,4.4,39,48,On
183,DL1ZC6004,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:51,,,,,,
184,DL1ZC6002,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:49,,,,,,
185,DL1ZC6079,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.49569108,77.08496838,01-02-20 5:49,,,,,,
186,DL1ZC6004,NEMO_VEHICLE_STATUS,01-02-20 5:51,,,01-02-20 5:51,Idle,38022,0,100,140,Off
187,DL1ZC6002,NEMO_VEHICLE_STATUS,01-02-20 5:51,,,01-02-20 5:49,Drive,38561,0,66,91,On
188,DL1ZC6066,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:50,,,,,,
189,DL1ZC6056,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.40963468,77.0004339,01-02-20 5:49,,,,,,
190,DL1ZC5917,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.49702123,77.0826357,01-02-20 5:50,,,,,,
191,DL1ZC5969,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.43546632,77.04818853,31-01-20 14:03,,,,,,
192,DL1ZC5922,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.4635522,77.50695962,01-02-20 5:13,,,,,,
193,DL1ZC4589,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.56435642,77.33540317,01-02-20 5:49,,,,,,
194,DL1ZC6066,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.49718135,77.0828334,01-02-20 5:50,,,,,,
195,DL1ZC5939,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.43450358,77.10569995,01-02-20 5:51,,,,,,
196,DL1ZC5985,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:49,,,,,,
197,DL1ZC5999,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,31-01-20 17:12,,,,,,
198,DL1ZC5943,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:50,,,,,,
199,DL1ZC5976,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:51,,,,,,
200,DL1ZC6056,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:49,,,,,,
201,DL1ZC6002,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.63928358,77.2233381,01-02-20 5:49,,,,,,
202,DL1ZC6004,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.49601123,77.08426122,01-02-20 5:51,,,,,,
203,DL1ZC6078,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:50,,,,,,
204,DL1ZC6079,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:49,,,,,,
205,DL1ZC5943,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.49671335,77.0839326,01-02-20 5:50,,,,,,
206,DL1ZC5985,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.49682235,77.08269935,01-02-20 5:49,,,,,,
207,DL1ZC5999,NEMO_VEHICLE_LOCATION,01-02-20 5:51,28.49702273,77.0827055,31-01-20 17:12,,,,,,
208,DL1ZC5976,NEMO_VEHICLE_LOCATION,01-02-20 5:51,0,0,01-02-20 5:51,,,,,,
209,DL1ZC5917,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:50,,,,,,
210,DL1ZC5922,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:13,,,,,,
211,DL1ZC5939,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,01-02-20 5:51,,,,,,
212,DL1ZC5969,NEMO_VEHICLE_CLUSTER,01-02-20 5:51,,,31-01-20 14:03,,,,,,
213,DL1ZC6066,NEMO_VEHICLE_STATUS,01-02-20 5:51,,,01-02-20 5:50,FC,33000,0,85,118,Off
214,DL1ZC6056,NEMO_VEHICLE_STATUS,01-02-20 5:51,,,01-02-20 5:49,Idle,31632,0,52,68,Off
215,DL1ZC5985,NEMO_VEHICLE_STATUS,01-02-20 5:51,,,01-02-20 5:49,Idle,21741,0,100,139,Off
216,DL1ZC5999,NEMO_VEHICLE_STATUS,01-02-20 5:51,,,31-01-20 17:12,Drive,29305,1,1,0,Off
217,DL1ZC5943,NEMO_VEHICLE_STATUS,01-02-20 5:51,,,01-02-20 5:50,Idle,30538,0,100,139,Off
218,DL1ZC5976,NEMO_VEHICLE_STATUS,01-02-20 5:51,,,01-02-20 5:51,Idle,32614,0,100,140,Off
